Year,Month,Region,District/Market,Crop Name,Min Price,Max Price,Average Price
2021,November,Mwanza,Mwanza,Irish Potatoes (Viazi Mviringo),85000,86667,85833
2021,November,Njombe,Njombe,Irish Potatoes (Viazi Mviringo),45000,52750,48875
2021,November,Rukwa,Sumbawanga,Irish Potatoes (Viazi Mviringo),58333,69583,63958
2021,November,Ruvuma,Songea,Irish Potatoes (Viazi Mviringo),73400,75600,74500
2021,November,Shinyanga,Shinyanga,Irish Potatoes (Viazi Mviringo),80000,89583,84792
2021,November,Tabora,Tabora,Irish Potatoes (Viazi Mviringo),62500,72500,67500
2021,November,Tanga,Tanga,Irish Potatoes (Viazi Mviringo),60833,60833,60833
2021,November,Arusha,Arusha (Urban),Maize (Mahindi),48333,49750,49042
2021,November,Dodoma,Kibaigwa,Maize (Mahindi),42417,44083,43250
2021,November,Dodoma,Majengo,Maize (Mahindi),44417,50333,47375
2021,November,D'Salaam,Kinondoni (Tandale),Maize (Mahindi),50000,59222,54611
2021,November,D'Salaam,Temeke (Tandika),Maize (Mahindi),47250,49125,48188
2021,November,Iringa,Iringa,Maize (Mahindi),33083,33833,33458
2021,November,Kagera,Bukoba,Maize (Mahindi),60833,65000,62917
2021,November,Katavi,Mpanda,Maize (Mahindi),35167,44000,39583
2021,November,Kigoma,Kigoma,Maize (Mahindi),47709,49500,48605
2021,November,Kilimanjaro,Moshi,Maize (Mahindi),57500,58500,58000
2021,November,Lindi,Lindi,Maize (Mahindi),70000,100000,85000
2021,November,Manyara,Babati,Maize (Mahindi),49167,60000,54583
2021,November,Mara,Musoma,Maize (Mahindi),60000,65000,62500
2021,November,Morogoro,Morogoro,Maize (Mahindi),46224,46875,46549
2021,November,Mtwara,Mtwara,Maize (Mahindi),43333,45000,44167
2021,November,Mwanza,Mwanza,Maize (Mahindi),60667,66750,63708
2021,November,Njombe,Njombe,Maize (Mahindi),44000,46000,45000
2021,November,Rukwa,Sumbawanga,Maize (Mahindi),35083,39833,37458
2021,November,Ruvuma,Songea,Maize (Mahindi),27800,30000,28900
2021,November,Shinyanga,Shinyanga,Maize (Mahindi),42500,46000,44250
2021,November,Tabora,Tabora,Maize (Mahindi),43417,44667,44042
2021,November,Tanga,Tanga,Maize (Mahindi),51465,52237,51851
2021,November,Arusha,Arusha (Urban),Rice (Mchele),132500,200000,166250
2021,November,Dodoma,Kibaigwa,Rice (Mchele),150000,150000,150000
2021,November,Dodoma,Majengo,Rice (Mchele),137333,169583,153458
2021,November,D'Salaam,Kinondoni (Tandale),Rice (Mchele),127778,200000,163889
2021,November,D'Salaam,Temeke (Tandika),Rice (Mchele),131250,220000,175625
2021,November,Iringa,Iringa,Rice (Mchele),120000,200000,160000
2021,November,Kagera,Bukoba,Rice (Mchele),130333,170000,150167
2021,November,Katavi,Mpanda,Rice (Mchele),105000,123333,114167
2021,November,Kigoma,Kigoma,Rice (Mchele),120000,130000,125000
2021,November,Kilimanjaro,Moshi,Rice (Mchele),151667,216667,184167
2021,November,Lindi,Lindi,Rice (Mchele),126667,200000,163333
2021,November,Manyara,Babati,Rice (Mchele),130000,180000,155000
2021,November,Mara,Musoma,Rice (Mchele),107500,117500,112500
2021,November,Morogoro,Morogoro,Rice (Mchele),165000,178333,171667
2021,November,Mtwara,Mtwara,Rice (Mchele),150000,170000,160000
2021,November,Mwanza,Mwanza,Rice (Mchele),127917,254167,191042
2021,November,Njombe,Njombe,Rice (Mchele),190000,250000,220000
2021,November,Rukwa,Sumbawanga,Rice (Mchele),105000,127500,116250
2021,November,Ruvuma,Songea,Rice (Mchele),150000,200000,175000
2021,November,Shinyanga,Shinyanga,Rice (Mchele),123333,140000,131667
2021,November,Tabora,Tabora,Rice (Mchele),100000,115000,107500
2021,November,Tanga,Tanga,Rice (Mchele),140000,160000,150000
2021,November,Arusha,Arusha (Urban),Sorghum (Mtama),66750,71250,69000
