Date,Region,District/Market,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Finger Millet Min Price,Finger Millet Max Price,Wheat Grain Min Price,Wheat Grain Max Price,Beans Min Price,Beans Max Price,Irish Potato Min Price,Irish Potato Max Price
12th OCTOBER, 2022,Arusha,Arusha,98000,99000,230000,300000,80000,82000,80000,85000,120000,130000,125000,150000,290000,230000,80000,85000
12th OCTOBER, 2022,Dar es Salaam,Buguruni,130000,130000,240000,280000,NA,NA,NA,NA,NA,NA,NA,NA,250000,340000,65000,68000
12th OCTOBER, 2022,Dar es Salaam,Tandika,120000,98000,230000,320000,100000,120000,110000,120000,170000,180000,200000,220000,280000,320000,68000,70000
12th OCTOBER, 2022,Dodoma,Majengo,95000,98000,265000,320000,59000,78000,72000,80000,125000,180000,140000,182400,298500,255000,70500,90000
12th OCTOBER, 2022,Iringa,Iringa,85000,80000,290000,300000,100000,100000,150000,150000,170000,180000,170000,200000,300000,210000,70000,75000
12th OCTOBER, 2022,Kagera,Bukoba,120000,124000,240000,320000,180000,200000,180000,190000,170000,200000,180000,210000,320000,230000,80000,90000
12th OCTOBER, 2022,Katavi,Mpanda,98000,95000,200000,210000,NA,NA,NA,NA,NA,NA,NA,NA,235000,250000,65000,90000
12th OCTOBER, 2022,Kigoma,Kigoma,105500,105500,210000,220000,100000,100000,100000,100000,150000,180000,150000,180000,240000,250000,80000,95000
12th OCTOBER, 2022,Kilimanjaro,Moshi,120000,120000,350000,350000,NA,NA,NA,NA,250000,250000,NA,NA,300000,300000,95000,100000
12th OCTOBER, 2022,Manyara,Babati,120000,110000,270000,300000,70000,90000,90000,110000,120000,180000,140000,210000,270000,240000,90000,80000
12th OCTOBER, 2022,Mtwara,Mtwara,86000,86000,240000,280000,100000,100000,NA,NA,180000,180000,NA,NA,240000,270000,75000,100000
12th OCTOBER, 2022,Mwanza,Mwanza,135000,125000,300000,350000,180000,200000,180000,200000,NA,NA,NA,NA,360000,300000,95000,70000
12th OCTOBER, 2022,Rukwa,Sumbawanga,85000,80000,180000,210000,NA,NA,NA,NA,225000,240000,160000,185000,210000,300000,70000,95000
12th OCTOBER, 2022,Ruvuma,Songea,72000,78000,200000,300000,NA,NA,NA,NA,NA,NA,NA,NA,250000,240000,90000,100000
12th OCTOBER, 2022,Tabora,Tabora,96000,98000,240000,260000,140000,150000,NA,NA,180000,190000,NA,NA,290000,300000,90000,80000
12th OCTOBER, 2022,Tanga,Tanga,107000,110000,241000,275000,99500,99500,NA,NA,200500,200500,199000,200000,220000,250000,78500,80500
