Date,Region,District/Market,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Finger Millet Min Price,Finger Millet Max Price,Wheat Grain Min Price,Wheat Grain Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price
11TH SEPTEMBER 2023,Kilimanjaro,moshi,105000,105000,350000,350000,NA,NA,NA,NA,200000,200000,150000,150000,300000,300000,85000,85000
11TH SEPTEMBER 2023,Singida,Singida,85000,85000,350000,220000,120000,90000,80000,80000,90000,90000,NA,NA,260000,400000,80000,100000
11TH SEPTEMBER 2023,Arusha,Arusha,84000,85000,260000,340000,70000,75000,85000,95000,85000,90000,NA,NA,200000,280000,75000,80000
11TH SEPTEMBER 2023,Dodoma,Majengo,122000,130000,232000,280000,78000,85000,72000,82000,112000,120000,NA,NA,278000,300000,55000,82000
11TH SEPTEMBER 2023,Morogoro,Morogoro,82000,86000,180000,340000,135000,150000,100000,110000,160000,170000,230000,240000,200000,260000,53000,54500
11TH SEPTEMBER 2023,Mtwara,Mtwara DC,100000,100000,250000,300000,200000,200000,150000,150000,200000,200000,180000,180000,300000,300000,NA,NA
11TH SEPTEMBER 2023,Iringa,Iringa,70000,80000,200000,300000,150000,150000,180000,200000,150000,165000,NA,NA,240000,300000,60000,60000
11TH SEPTEMBER 2023,Tanga,Tanga,110000,110000,240000,240000,120000,120000,120000,120000,200000,200000,NA,NA,260000,260000,65000,65000
11TH SEPTEMBER 2023,Tabora,Tabora,98000,102000,220000,240000,150000,170000,NA,NA,190000,200000,NA,NA,280000,300000,90000,100000
11TH SEPTEMBER 2023,Kagera,Bukoba,105000,108000,300000,190000,190000,180000,160000,170000,160000,150000,220000,230000,220000,260000,90000,100000
11TH SEPTEMBER 2023,Mara,Musoma,95000,95000,180000,180000,130000,130000,250000,250000,250000,250000,NA,NA,200000,200000,100000,100000
11TH SEPTEMBER 2023,Manyara,Manyara,95000,114000,230000,300000,90000,80000,100000,120000,100000,120000,120000,130000,210000,240000,90000,90000
11TH SEPTEMBER 2023,Mbeya,mbeya,80000,80000,270000,270000,100000,100000,150000,150000,150000,150000,170000,170000,230000,230000,70000,70000
11TH SEPTEMBER 2023,Ruvuma,Songea,83000,90000,320000,260000,NA,NA,NA,NA,NA,NA,NA,NA,270000,300000,94000,98000
11TH SEPTEMBER 2023,Shinyanga,Shinyanga,90000,110000,200000,320000,65000,160000,80000,120000,180000,200000,NA,NA,300000,300000,100000,120000
11TH SEPTEMBER 2023,"Dar es saalam",ilala,100000,100000,210000,210000,180000,180000,180000,180000,210000,210000,NA,NA,290000,290000,NA,NA
11TH SEPTEMBER 2023,Mwanza,Mwanza,105000,120000,200000,250000,150000,200000,NA,NA,NA,NA,NA,NA,250000,300000,95000,95000
11TH SEPTEMBER 2023,Sumbawanga,Sumbawanga,80000,85000,180000,220000,NA,NA,NA,NA,90000,150000,NA,NA,160000,200000,75000,75000
