Date,Region,District/Market,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Finger Millet Max Price,Wheat Grain Min Price,Wheat Grain Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price
29 JUNI, 2022,Arusha,Arusha,98000,100000,200000,250000,80000,80000,80000,80000,120000,135000,135000,140000,165000,230000,85000,90000
29 JUNI, 2022,Dar es Salaam,Kinondoni,87000,120000,195000,240000,90000,110000,90000,95000,150000,170000,180000,220000,220000,240000,85000,88000
29 JUNI, 2022,Dodoma,Kibaigwa,87000,87000,220000,220000,55000,60000,NA,NA,NA,NA,NA,NA,200000,200000,NA,NA
29 JUNI, 2022,Dodoma,Majengo,87500,95000,200000,250000,60000,72000,70000,85000,152000,142000,182000,182400,195000,220000,65500,83000
29 JUNI, 2022,Kagera,Bukoba,100000,110000,180000,210000,120000,130000,140000,150000,170000,160000,200000,110000,110000,150000,65000,70000
29 JUNI, 2022,Manyara,Babati,85000,90000,200000,240000,100000,120000,90000,100000,120000,140000,180000,200000,222000,240000,95000,95000
29 JUNI, 2022,Mara,Musoma,95000,105000,150000,160000,100000,110000,130000,150000,150000,130000,NA,NA,140000,150000,100000,120000
29 JUNI, 2022,Morogoro,Morogoro,82000,83600,220000,230000,120000,120000,120000,120000,180000,180000,220000,220000,190000,190000,80000,85000
29 JUNI, 2022,Mtwara,Mtwara,68000,69000,180000,220000,95000,100000,NA,NA,180000,180000,NA,NA,195000,200000,NA,NA
29 JUNI, 2022,Mwanza,Mkoa,110000,120000,200000,290000,150000,180000,150000,200000,180000,200000,NA,NA,195000,250000,85000,90000
29 JUNI, 2022,Njombe,Njombe,62000,72000,200000,250000,NA,NA,NA,NA,220000,200000,180000,200000,150000,200000,45000,50000
29 JUNI, 2022,Ruvuma,Songea,55000,60000,180000,220000,NA,NA,NA,NA,NA,NA,NA,NA,150000,180000,78000,78000
29 JUNI, 2022,Tabora,Tabora,78000,80000,190000,220000,140000,150000,NA,NA,190000,180000,NA,NA,200000,220000,90000,100000
