Date,Region,District/Market,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Finger Millet Min Price,Finger Millet Max Price,Wheat Grain Min Price,Wheat Grain Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price
15TH SEPTEMBER 2023,Kilimanjaro,moshi,105000,105000,350000,350000,NA,NA,NA,NA,200000,200000,150000,150000,300000,300000,85000,85000
15TH SEPTEMBER 2023,Singida,Singida,85000,85000,350000,220000,90000,120000,80000,80000,90000,90000,NA,NA,260000,400000,80000,100000
15TH SEPTEMBER 2023,Arusha,Arusha,84000,85000,260000,340000,70000,75000,85000,95000,85000,90000,NA,NA,200000,280000,75000,80000
15TH SEPTEMBER 2023,Dodoma,Majengo,123000,130000,280000,232000,78000,85000,72500,840000,120000,113000,NA,NA,278000,300000,56000,82000
15TH SEPTEMBER 2023,Morogoro,Morogoro,82000,86000,340000,180000,150000,135000,100000,110000,160000,170000,240000,250000,220000,270000,55600,57000
15TH SEPTEMBER 2023,Mtwara,Mtwara DC,70000,70000,260000,300000,150000,150000,120000,120000,150000,150000,180000,180000,290000,290000,70000,70000
15TH SEPTEMBER 2023,Iringa,Iringa,70000,80000,200000,300000,150000,150000,120000,120000,150000,150000,NA,NA,290000,290000,70000,70000
15TH SEPTEMBER 2023,Tanga,Tanga,100000,100000,240000,240000,120000,120000,130000,130000,200000,200000,NA,NA,260000,260000,65000,65000
15TH SEPTEMBER 2023,Tabora,Tabora,98000,102000,220000,240000,150000,170000,NA,NA,200000,190000,NA,NA,280000,300000,90000,100000
15TH SEPTEMBER 2023,Kagera,Bukoba,105000,110000,190000,300000,190000,180000,160000,170000,150000,160000,220000,230000,230000,260000,90000,100000
15TH SEPTEMBER 2023,Mara,Musoma,95000,95000,180000,180000,130000,130000,250000,250000,250000,250000,NA,NA,200000,200000,100000,100000
15TH SEPTEMBER 2023,Manyara,Manyara,105000,110000,280000,300000,70000,70000,170000,170000,180000,180000,120000,130000,280000,300000,62000,62000
15TH SEPTEMBER 2023,Mbeya,mbeya,75000,75000,280000,280000,150000,150000,150000,150000,150000,150000,170000,170000,225000,225000,70000,70000
15TH SEPTEMBER 2023,Ruvuma,Songea,83000,90000,320000,280000,NA,NA,NA,NA,NA,NA,NA,NA,270000,300000,94000,98000
15TH SEPTEMBER 2023,Shinyanga,Shinyanga,95000,110000,320000,200000,72000,160000,70000,120000,150000,180000,NA,NA,280000,280000,75000,120000
15TH SEPTEMBER 2023,Dar es saalam,ilala,100000,100000,210000,210000,180000,180000,180000,180000,210000,210000,NA,NA,290000,290000,NA,NA
15TH SEPTEMBER 2023,Mwanza,Mwanza,105000,120000,220000,250000,150000,200000,150000,200000,NA,NA,NA,NA,225000,300000,100000,100000
15TH SEPTEMBER 2023,Sumbawanga,Sumbawanga,80000,85000,180000,220000,NA,NA,NA,NA,90000,150000,NA,NA,160000,200000,75000,75000
