Date,Region,District/Market,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Millet Min Price,Millet Max Price,Finger Millet Min Price,Finger Millet Max Price,Wheat Grain Min Price,Wheat Grain Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price
24 JUNI, 2022,Arusha,Arusha,105000,110000,200000,250000,65000,70000,68000,70000,120000,135000,140000,150000,165000,230000,85000,90000
24 JUNI, 2022,Dar es Saalam,Temeke,100000,100000,NA,NA,130000,130000,200000,200000,170000,170000,NA,NA,215000,215000,NA,NA
24 JUNI, 2022,Dodoma,Kibaigwa,82000,85000,220000,220000,55000,60000,NA,NA,NA,NA,NA,NA,200000,200000,NA,NA
24 JUNI, 2022,Dodoma,Majengo,85500,92000,200000,240000,58000,60000,70000,82000,150000,140000,182000,182400,195000,220000,65500,85500
24 JUNI, 2022,Kagera,Bukoba,86000,90000,170000,210000,120000,130000,150000,140000,160000,170000,200000,220000,105000,150000,65000,70000
24 JUNI, 2022,Katavi,Mpanda,78000,80000,170000,200000,NA,NA,NA,NA,NA,NA,NA,NA,165000,200000,NA,NA
24 JUNI, 2022,Mara,Musoma,110000,120000,180000,200000,110000,120000,NA,NA,NA,NA,NA,NA,180000,200000,120000,100000
24 JUNI, 2022,Manyara,Manyara,80000,90000,220000,240000,100000,120000,100000,80000,160000,150000,220000,230000,222000,240000,95000,95000
24 JUNI, 2022,Morogoro,Morogoro,82000,83600,220000,230000,120000,120000,120000,120000,180000,180000,220000,220000,190000,190000,85000,80000
24 JUNI, 2022,Mtwara,Mtwara,66000,67000,200000,220000,95000,100000,NA,NA,180000,180000,NA,NA,200000,220000,65000,60000
24 JUNI, 2022,Njombe,Njombe,62000,72000,200000,250000,NA,NA,NA,NA,220000,200000,180000,200000,150000,200000,50000,45000
24 JUNI, 2022,Rukwa,Sumbawanga,65000,70000,130000,170000,NA,NA,NA,NA,200000,200000,185000,200000,135000,160000,75000,60000
24 JUNI, 2022,Ruvuma,Songea,52000,55000,160000,200000,NA,NA,NA,NA,NA,NA,NA,NA,150000,180000,72000,75000
24 JUNI, 2022,Tabora,Tabora,73000,75000,190000,220000,140000,150000,NA,NA,180000,190000,NA,NA,200000,220000,90000,100000
24 JUNI, 2022,Tanga,Tanga,94000,95000,200000,210000,99500,100000,99500,100000,155000,160000,197000,200000,198000,200000,91000,90000
