Date,Region,District/Market,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Finger Millet Min Price,Finger Millet Max Price,Wheat Grain Min Price,Wheat Grain Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price
05th AUGUST, 2022,Arusha,Arusha,90000,93000,200000,250000,70000,75000,70000,75000,120000,125000,NA,NA,150000,200000,85000,90000
05th AUGUST, 2022,Dodoma,Majengo,85000,92000,210000,255000,56000,70000,86000,84000,145000,150000,180000,182400,198000,230000,85000,65000
05th AUGUST, 2022,Iringa,Iringa,70000,70000,180000,220000,100000,100000,150000,150000,150000,150000,180000,200000,180000,220000,85000,85000
05th AUGUST, 2022,Kagera,Bukoba,108000,110000,190000,240000,150000,170000,160000,150000,150000,160000,200000,220000,160000,230000,85000,70000
05th AUGUST, 2022,Manyara,Manyara,80000,90000,200000,240000,90000,110000,90000,110000,120000,130000,210000,230000,210000,240000,80000,100000
05th AUGUST, 2022,Mara,Musoma,105000,115000,170000,180000,115000,125000,160000,140000,150000,160000,NA,NA,140000,150000,120000,100000
05th AUGUST, 2022,Rukwa,Sumbawanga,60000,70000,130000,160000,NA,NA,NA,NA,140000,170000,160000,170000,180000,200000,60000,80000
05th AUGUST, 2022,Ruvuma,Songea,60000,62000,160000,240000,NA,NA,NA,NA,NA,NA,NA,NA,150000,180000,85000,80000
05th AUGUST, 2022,Tabora,Tabora,82000,83000,190000,220000,140000,150000,NA,NA,180000,190000,NA,NA,220000,230000,100000,90000
05th AUGUST, 2022,Tanga,Tanga,96000,97000,190000,210000,99500,105000,105000,100000,148000,159000,199000,200000,200000,200000,83000,83000
