Date,Region,District/Market,Maize_MinPrice,Maize_MaxPrice,Rice_MinPrice,Rice_MaxPrice,Sorghum_MinPrice,Sorghum_MaxPrice,BulrushMillet_MinPrice,BulrushMillet_MaxPrice,FingerMillet_MinPrice,FingerMillet_MaxPrice,Wheat_MinPrice,Wheat_MaxPrice,Beans_MinPrice,Beans_MaxPrice,IrishPotatoes_MinPrice,IrishPotatoes_MaxPrice
27 DESEMBA, 2021,Arusha,Arusha (Urban),65000,66000,180000,230000,58000,60000,70000,75000,130000,128000,82000,85000,145000,170000,70000,75000
27 DESEMBA, 2021,D'Salaam,Kinondoni (Tandale),63000,65000,150000,220000,60000,70000,70000,75000,160000,160000,200000,240000,75000,81250
27 DESEMBA, 2021,Dodoma,Majengo,55000,62000,220000,230000,51500,65000,50500,58000,145000,135000,185000,230000,64000,63125
27 DESEMBA, 2021,Dodoma,Kibaigwa,58000,59500,180000,160000,50000,60000,NA,NA,NA,NA,150000,NA,NA,180000,NA,NA
27 DESEMBA, 2021,Iringa,Iringa,55000,60000,220000,200000,100000,120000,NA,NA,NA,NA,150000,150000,150000,150000,75000,75000
27 DESEMBA, 2021,Kagera,Bukoba,68000,72000,150000,150000,90000,110000,120000,NA,160000,180000,140000,110000,NA,140000,55000,65000
27 DESEMBA, 2021,Katavi,Mpanda,62000,66000,180000,150000,180000,200000,100000,NA,170000,200000,NA,200000,60000,50000
27 DESEMBA, 2021,Kilimanjaro,Moshi,60000,60000,200000,150000,120000,120000,120000,NA,250000,140000,170000,200000,70000,100000
27 DESEMBA, 2021,Lindi,Lindi,80000,100000,160000,200000,150000,200000,160000,NA,180000,160000,200000,250000,70000,100000
27 DESEMBA, 2021,Manyara,Babati,52000,66000,150000,200000,60000,80000,60000,80000,140000,160000,120000,130000,150000,168000,80000,100000
27 DESEMBA, 2021,Kigoma,Kigoma,61000,64000,158000,160000,80000,100000,100000,100000,150000,150000,150000,150000,130000,140000,75000,87500
27 DESEMBA, 2021,Morogoro,Morogoro,62500,62500,190000,160000,150000,150000,150000,150000,160000,150000,150000,150000,180000,195000,81000,81000
27 DESEMBA, 2021,Mwanza,Mwanza,77000,80000,160000,250000,170000,200000,200000,200000,200000,200000,NA,NA,180000,260000,100000,100000
27 DESEMBA, 2021,Njombe,Njombe,50000,50000,200000,150000,NA,NA,NA,NA,150000,170000,170000,180000,150000,200000,63125,50000
27 DESEMBA, 2021,Ruvuma,Songea,50000,55000,200000,160000,NA,NA,NA,NA,NA,NA,NA,NA,155000,170000,75000,75000
27 DESEMBA, 2021,Tanga,Tanga,67992,68518,150000,180000,90000,100000,80000,80000,160000,180000,120000,120000,175000,180000,80000,80000
