Region,District/Market,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Finger Millet Min Price,Finger Millet Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Wheat Grain Min Price,Wheat Grain Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price
Dar es saalam,Ilala,64000,74000,200000,310000,NA,NA,NA,NA,NA,NA,NA,NA,280000,310000,80000,85000
Dar es saalam,Temeke,52000,100000,220000,280000,300000,300000,130000,140000,110000,110000,120000,130000,170000,180000,170000,180000
Dar es saalam,Tandale,54000,100000,280000,320000,300000,300000,110000,120000,100000,100000,100000,100000,170000,170000,150000,150000
Dar es saalam,Ubungo,NA,NA,210000,280000,NA,NA,NA,NA,NA,NA,NA,NA,240000,270000,65000,80000
Dar es saalam,Mwananyamala,90000,90000,150000,240000,100000,100000,100000,100000,180000,180000,150000,150000,280000,280000,75000,75000
Kilimanjaro,Moshi,60000,60000,200000,200000,NA,150000,200000,200000,NA,200000,200000,250000,90000,90000,
Singida,Namfua,60000,70000,180000,350000,80000,80000,95000,180000,200000,120000,120000,120000,300000,300000,80000,95000
Arusha,Kilombero,60000,70000,260000,300000,70000,85000,110000,95000,200000,75000,90000,112000,100000,270000,80000,85000
Dodoma,Majengo,50000,55000,240000,260000,60000,50000,130000,NA,250000,65000,55000,140000,NA,280000,80000,85000
Morogoro,Morogoro,46875,57843,280000,280000,120000,120000,140000,180000,280000,130000,135000,150000,200000,290000,79000,81600
Mtwara,Mtwara Dc,75000,75000,300000,300000,200000,200000,75000,200000,200000,200000,200000,75000,320000,320000,75000,85000
Lindi,Lindi mjin,90000,100000,180000,350000,200000,280000,350000,180000,280000,200000,300000,75000,280000,290000,85000,90000
Iringa,Iringa,50000,55000,170000,250000,130000,150000,130000,170000,200000,150000,180000,150000,200000,250000,60000,70000
Mara,Musoma,54000,56000,180000,190000,180000,180000,180000,240000,250000,200000,200000,200000,253300,300000,130000,140000
Tanga,Mgandini,100000,100000,180000,180000,120000,120000,200000,NA,250000,200000,200000,NA,250000,250000,110000,110000
Songwe,Songwe,27700,55500,185000,220000,150000,NA,150000,200000,170000,150000,NA,150000,200000,170000,120000,120000
Tabora,Tabora,58000,60000,160000,240000,145000,180000,185000,NA,240000,150000,190000,190000,NA,260000,90000,100000
Geita,Nyankumbu,60000,60000,140000,140000,145000,160000,170000,NA,240000,145000,160000,170000,NA,240000,130000,130000
Kagera,Bukoba,50000,55000,150000,320000,160000,170000,150000,180000,180000,170000,180000,150000,160000,220000,65000,85000
Katavi,Majengo,35000,35000,240000,240000,200000,NA,200000,NA,240000,200000,NA,200000,NA,240000,150000,150000
Manyara,BabatiTC,42000,60000,180000,300000,80000,80000,90000,130000,210000,90000,110000,110000,150000,240000,90000,90000
Mbeya,Igawilo/soweto,60000,60000,222000,222000,125000,125000,120000,125000,225000,125000,125000,120000,125000,225000,70000,70000
Ruvuma,Songea,35000,50000,260000,300000,NA,NA,NA,NA,NA,NA,NA,NA,300000,320000,80000,82000
Shinyanga,Shinyanga,50000,60000,140000,160000,140000,80000,180000,250000,280000,134000,80000,180000,250000,280000,110000,120000
Mwanza,Mwanza,70000,75000,220000,250000,120000,120000,140000,NA,230000,160000,150000,170000,NA,250000,100000,100000
Simiyu,Bariadi TC,90000,100000,190000,250000,170000,160000,170000,160000,230000,100000,160000,180000,290000,290000,200000,200000
Pwani,,60000,60000,150000,160000,100000,180000,200000,250000,320000,170000,200000,180000,200000,380000,250000,250000
Kigoma,Kigoma,44400,44400,140000,200000,100000,NA,100000,160000,270000,100000,NA,130000,170000,280000,120000,120000
Rukwa,Sumbawanga,50000,60000,160000,240000,NA,NA,NA,NA,NA,NA,NA,100000,140000,180000,50000,75000
Date,10 MEI, 2024
