Region,District/Market,Maize_MinPrice,Maize_MaxPrice,Rice_MinPrice,Rice_MaxPrice,Sorghum_MinPrice,Sorghum_MaxPrice,BulrushMillet_MinPrice,BulrushMillet_MaxPrice,FingerMillet_MinPrice,FingerMillet_MaxPrice,WheatGrain_MinPrice,WheatGrain_MaxPrice,Beans_MinPrice,Beans_MaxPrice,IrishPotatoes_MinPrice,IrishPotatoes_MaxPrice
Arusha,Arusha,95000,97000,200000,250000,70000,75000,75000,70000,120000,125000,NA,NA,150000,200000,NA,NA
Dodoma,Majengo,88000,91000,215000,255000,58000,70000,90000,83000,139000,150000,180000,182400,195000,225000,65500,85000
Kagera,Bukoba,110000,114000,180000,230000,130000,150000,130000,150000,150000,160000,220000,240000,180000,220000,70000,85000
Iringa,Iringa,80000,80000,170000,210000,100000,100000,150000,150000,150000,150000,180000,180000,170000,190000,90000,90000
Lindi,Lindi,70000,70000,190000,240000,180000,180000,NA,NA,200000,200000,184000,184000,200000,210000,110000,110000
Manyara,Babati,80000,90000,220000,240000,80000,120000,80000,100000,120000,160000,200000,240000,180000,210000,85000,85000
Morogoro,Morogoro,82000,109000,220000,230000,150000,150000,150000,150000,190000,190000,220000,220000,220000,220000,85000,85000
Mtwara,Mtwara,78000,78000,200000,280000,100000,100000,NA,NA,180000,180000,NA,NA,195000,200000,75000,80000
Mwanza,Mwanza,105000,110000,175000,280000,150000,180000,200000,150000,180000,200000,NA,NA,200000,260000,95000,95000
Tabora,Tabora,82000,83000,190000,220000,140000,150000,NA,NA,180000,190000,NA,NA,210000,220000,90000,100000
