Date,Region,District_Market,Maize_Min_Price,Maize_Max_Price,Rice_Min_Price,Rice_Max_Price,Sorghum_Min_Price,Sorghum_Max_Price,Bulrush_Millet_Min_Price,Bulrush_Millet_Max_Price,Finger_Millet_Min_Price,Finger_Millet_Max_Price,Wheat_Min_Price,Wheat_Max_Price,Beans_Min_Price,Beans_Max_Price,Potatoes_Min_Price,Potatoes_Max_Price
2021-08-18,Arusha,Arusha (Urban),46000,47000,180000,200000,60000,65000,125000,NA,90000,120000,130000,260000,50000,47000
2021-08-18,D'Salaam,Kinondoni (Tandale),45000,70000,130000,110000,80000,90000,120000,85000,130000,170000,200000,45000,47000,47000
2021-08-18,D'Salaam,Ilala (Buguruni),45000,48000,120000,180000,NA,48000,NA,NA,NA,NA,150000,190000,43000,60000,60000
2021-08-18,D'Salaam,Temeke (Tandika),46000,46000,200000,100000,80000,100000,NA,NA,NA,NA,180000,160000,38000,60000,60000
2021-08-18,Dodoma,Majengo,51000,53000,180000,175000,100000,53000,100000,55500,150000,220000,180000,180000,60000,54000
2021-08-18,Dodoma,Kibaigwa,37000,39000,NA,NA,40000,48000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-08-18,Kagera,Bukoba,52000,54000,150000,80000,NA,NA,NA,NA,150000,160000,150000,NA,55000,50000
2021-08-18,Katavi,Mpanda,25000,30000,100000,100000,50000,70000,170000,NA,180000,140000,200000,NA,70000,40000
2021-08-18,Kigoma,Kigoma,44400,44500,100000,110000,100000,100000,100000,100000,140000,150000,150000,140000,60000,60000
2021-08-18,Iringa,Iringa,33000,35000,120000,180000,NA,NA,NA,NA,NA,NA,150000,150000,45000,40000
2021-08-18,Njombe,Njombe,38000,42000,200000,250000,NA,NA,NA,NA,NA,NA,170000,140000,40000,45500
2021-08-18,Manyara,Babati,42000,48000,120000,180000,60000,80000,100000,80000,120000,130000,168000,150000,60000,55000
2021-08-18,Mara,Musoma,60000,65000,95000,110000,60000,65000,200000,180000,180000,200000,NA,NA,190000,200000,90000,95000
2021-08-18,Morogoro,Morogoro,39062,39843,130000,170000,120000,120000,120000,110000,160000,160000,150000,150000,185000,180000,74000,74000
2021-08-18,Mtwara,Mtwara,40000,40000,120000,170000,70000,70000,NA,NA,NA,NA,NA,NA,175000,180000,55000,60000
2021-08-18,Mwanza,Mwanza,52000,65000,110000,200000,NA,NA,180000,150000,180000,200000,NA,NA,150000,250000,75000,75000
2021-08-18,Tabora,Tabora,35000,36000,95000,110000,140000,150000,NA,NA,180000,170000,NA,NA,160000,180000,65000,60000
2021-08-18,Tanga,Tanga,41666,46296,130000,160000,90000,100000,100000,100000,160000,180000,150000,130000,160000,170000,52000,55000
2021-08-18,Ruvuma,Songea,27000,28000,200000,120000,NA,NA,NA,NA,NA,NA,120000,100000,75000,70000
2021-08-18,Shinyanga,Shinyanga,42000,45000,140000,100000,70000,75000,NA,NA,100000,110000,NA,NA,150000,100000,90000,80000
2021-08-18,Rukwa,Sumbawanga,32000,36000,90000,110000,NA,NA,NA,NA,120000,130000,80000,75000,135000,200000,75000,55000
