Date,Region,District/Market,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Finger Millet Min Price,Bulrush Millet Max Price,Wheat Grain Max Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price,Min Price,Max Price
12th MAY, 2023,Arusha,Arusha,115000,120000,250000,300000,100000,NA,90000,110000,115000,95000,117000,240000,270000,95000,100000
12th MAY, 2023,es Salaam,Kinondoni,125000,100000,270000,300000,150000,150000,160000,130000,130000,170000,190000,200000,300000,340000,70000,75000
12th MAY, 2023,Dodoma,Kibaigwa,90000,85000,320000,350000,90000,90000,NA,NA,NA,NA,NA,280000,280000,120000,120000
12th MAY, 2023,Dodoma,Majengo,120000,122000,290000,340000,100000,90000,130000,160000,122000,180000,180000,200000,280000,340000,75000,98000
12th MAY, 2023,Katavi,Mpanda,60000,75000,200000,250000,NA,NA,NA,NA,NA,NA,200000,200000,180000,200000,70000,70000
12th MAY, 2023,Kilimanjaro,Moshi,115000,125000,250000,370000,NA,NA,NA,150000,NA,150000,190000,280000,260000,280000,120000,120000
12th MAY, 2023,Lindi,Lindi,180000,70000,250000,450000,220000,160000,NA,NA,NA,NA,250000,400000,280000,380000,150000,120000
12th MAY, 2023,Morogoro,Morogoro,109375,97656,300000,320000,150000,135000,160000,110000,100000,170000,210000,220000,250000,270000,72500,72000
12th MAY, 2023,Mtwara,Mtwara,130000,90000,280000,380000,150000,150000,150000,NA,NA,150000,NA,NA,300000,300000,200000,200000
12th MAY, 2023,Iringa,Iringa,90000,90000,270000,340000,150000,150000,200000,180000,170000,170000,200000,200000,250000,280000,70000,70000
12th MAY, 2023,Ruvuma,Songea,90000,120000,280000,360000,NA,NA,NA,NA,NA,NA,NA,NA,280000,300000,90000,90000
12th MAY, 2023,Tabora,Tabora,80000,78000,290000,300000,160000,170000,190000,NA,NA,200000,NA,NA,250000,270000,90000,100000
12th MAY, 2023,Bukoba,Bukoba,105000,100000,240000,350000,180000,220000,170000,220000,170000,180000,200000,250000,260000,280000,90000,100000
12th MAY, 2023,Manyara,Manyara,90000,120000,260000,320000,130000,120000,120000,250000,200000,130000,210000,230000,270000,300000,110000,110000
12th MAY, 2023,Tanga,Tanga,115000,116000,240000,302000,150000,150000,197000,NA,NA,197000,180000,180000,280000,295000,91000,90000
