Date,Region,District/Market,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Finger Millet Min Price,Finger Millet Max Price,Wheat Grain Min Price,Wheat Grain Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price
20 JUNI, 2022,Arusha,Arusha,100000,105000,200000,250000,65000,70000,68000,70000,135000,120000,140000,150000,165000,230000,85000,90000
20 JUNI, 2022,Dodoma,Kibaigwa,80000,80000,200000,220000,60000,60000,NA,NA,NA,NA,NA,NA,180000,200000,NA,NA
20 JUNI, 2022,Dodoma,Majengo,78500,85000,200000,240000,58000,70000,70000,82000,140000,150000,182000,182400,195000,220000,65500,85500
20 JUNI, 2022,Iringa,Iringa,65000,75000,170000,200000,150000,150000,200000,200000,180000,180000,200000,200000,170000,190000,70000,70000
20 JUNI, 2022,Lindi,Lindi,70000,90000,195000,280000,200000,200000,NA,NA,200000,200000,NA,NA,190000,220000,85000,90000
20 JUNI, 2022,Manyara,Manyara,78000,90000,200000,240000,100000,120000,80000,100000,160000,150000,220000,230000,222000,240000,100000,100000
20 JUNI, 2022,Mtwara,Mtwara,66000,67000,200000,220000,95000,100000,NA,NA,180000,180000,NA,NA,200000,220000,60000,65000
20 JUNI, 2022,Njombe,Njombe,62000,72000,200000,250000,NA,NA,NA,NA,220000,200000,180000,200000,150000,200000,NA,NA
20 JUNI, 2022,Rukwa,Sumbawanga,65000,68000,130000,175000,NA,NA,NA,NA,200000,200000,185000,200000,130000,160000,65000,75000
20 JUNI, 2022,Ruvuma,Songea,52000,55000,160000,200000,NA,NA,NA,NA,NA,NA,NA,NA,150000,180000,72000,75000
20 JUNI, 2022,Shinyanga,Shinyanga,65000,70000,180000,200000,90000,100000,90000,100000,150000,140000,140000,150000,180000,190000,90000,100000
20 JUNI, 2022,Tabora,Tabora,72000,74000,190000,220000,140000,150000,NA,NA,190000,180000,NA,NA,200000,220000,90000,100000
20 JUNI, 2022,Tanga,Tanga,93000,94000,NA,NA,99000,100000,99000,100000,160000,150000,196000,200000,197000,200000,90000,91000
