Date,Region,District/Market,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Finger Millet Min Price,Finger Millet Max Price,Wheat Min Price,Wheat Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price
08 DESEMBA, 2021,Arusha,Arusha (Urban),55000,55000,130000,200000,60000,75000,70000,70000,127000,160000,85000,130000,145000,240000,60000,65000
08 DESEMBA, 2021,D'Salaam,Kinondoni (Tandale),54000,55000,200000,150000,75000,75000,75000,70000,160000,125000,82000,120000,240000,280000,55000,60000
08 DESEMBA, 2021,Dodoma,Majengo,52000,47000,185000,140000,50000,62000,47500,54000,123000,140000,NA,NA,185000,225000,48000,57000
08 DESEMBA, 2021,Dodoma,Kibaigwa,46000,44000,NA,NA,43000,45000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
08 DESEMBA, 2021,Iringa,Iringa,43000,43000,120000,200000,100000,120000,NA,NA,150000,150000,150000,150000,150000,170000,50000,50000
08 DESEMBA, 2021,Kagera,Bukoba,65000,60000,170000,132000,80000,120000,100000,120000,160000,180000,150000,170000,115000,150000,50000,60000
08 DESEMBA, 2021,Katavi,Mpanda,54000,42000,100000,140000,180000,200000,NA,NA,180000,200000,NA,NA,200000,240000,50000,65000
08 DESEMBA, 2021,Kilimanjaro,Moshi,60000,60000,200000,160000,120000,120000,120000,120000,NA,NA,140000,140000,170000,200000,70000,70000
08 DESEMBA, 2021,Lindi,Lindi,100000,70000,135000,200000,150000,200000,300000,300000,150000,300000,160000,160000,200000,200000,100000,100000
08 DESEMBA, 2021,Manyara,Babati,48000,60000,140000,200000,60000,80000,60000,80000,160000,140000,130000,120000,150000,168000,NA,NA
08 DESEMBA, 2021,Mara,Musoma,60000,65000,125000,120000,60000,150000,180000,150000,NA,200000,160000,180000,NA,150000,90000,95000
08 DESEMBA, 2021,Morogoro,Morogoro,58595,58595,180000,160000,80000,65000,150000,NA,180000,160000,160000,180000,NA,NA,80000,80000
08 DESEMBA, 2021,Mtwara,Mtwara,45000,45000,170000,150000,150000,80000,200000,NA,200000,180000,180000,160000,150000,NA,65000,70000
08 DESEMBA, 2021,Mwanza,Mwanza,65000,70000,140000,270000,170000,NA,200000,NA,200000,NA,170000,NA,180000,175000,100000,100000
08 DESEMBA, 2021,Njombe,Njombe,50000,50000,150000,200000,NA,200000,NA,200000,NA,200000,NA,200000,150000,280000,50500,40000
08 DESEMBA, 2021,Ruvuma,Songea,29000,30000,160000,200000,NA,NA,NA,NA,NA,NA,NA,NA,160000,180000,75000,78000
08 DESEMBA, 2021,Rukwa,Sumbawanga,40000,45000,120000,140000,NA,NA,NA,NA,145000,160000,75000,90000,140000,180000,70000,55000
08 DESEMBA, 2021,Shinyanga,Shinyanga,46000,44000,130000,140000,120000,130000,120000,130000,120000,130000,120000,130000,180000,190000,80000,85000
08 DESEMBA, 2021,Tabora,Tabora,58000,57000,155000,130000,140000,150000,170000,180000,180000,170000,NA,NA,170000,200000,70000,80000
08 DESEMBA, 2021,Tanga,Tanga,53703,55555,140000,160000,90000,100000,80000,80000,160000,180000,120000,130000,180000,200000,65000,65000
