Date,Region,District/Market,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Finger Millet Min Price,Finger Millet Max Price,Wheat Grain Min Price,Wheat Grain Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price
06 JUNI, 2022,Arusha,Arusha,85000,87000,200000,250000,65000,70000,68000,70000,145000,140000,150000,140000,160000,200000,85000,80000
06 JUNI, 2022,Dodoma,Kibaigwa,77000,77000,NA,NA,60000,60000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06 JUNI, 2022,Dodoma,Majengo,78000,84000,195000,230000,65000,80000,68000,82000,155000,145000,180000,182400,185000,225000,85000,65000
06 JUNI, 2022,Iringa,Iringa,60000,68000,170000,220000,150000,150000,200000,200000,180000,180000,200000,200000,170000,180000,70000,70000
06 JUNI, 2022,Kagera,Bukoba,83000,85000,170000,210000,120000,130000,150000,130000,160000,170000,200000,220000,120000,150000,65000,80000
06 JUNI, 2022,Katavi,Mpanda,65000,70000,170000,200000,180000,200000,NA,NA,180000,200000,NA,NA,165000,200000,55000,60000
06 JUNI, 2022,Mara,Musoma,70000,80000,150000,180000,70000,80000,NA,NA,NA,NA,200000,180000,180000,200000,NA,NA
06 JUNI, 2022,Manyara,Babati,72000,84000,200000,240000,100000,120000,100000,80000,150000,160000,230000,220000,192000,210000,90000,90000
06 JUNI, 2022,Mwanza,Mwanza,81000,85000,185000,240000,NA,NA,NA,NA,NA,NA,NA,NA,180000,250000,85000,70000
06 JUNI, 2022,Lindi,Lindi,60000,70000,190000,240000,NA,NA,NA,NA,NA,NA,NA,NA,200000,200000,65000,100000
06 JUNI, 2022,Mtwara,Mtwara,NA,NA,200000,210000,100000,100000,NA,NA,NA,NA,NA,NA,175000,180000,NA,NA
06 JUNI, 2022,Rukwa,Sumbawanga,60000,65000,150000,180000,NA,NA,NA,NA,200000,200000,195000,200000,130000,175000,70000,80000
06 JUNI, 2022,Ruvuma,Songea,50000,55000,150000,200000,NA,NA,NA,NA,NA,NA,NA,NA,140000,190000,72000,76000
06 JUNI, 2022,Tabora,Tabora,68000,69000,190000,200000,NA,NA,NA,NA,NA,NA,190000,200000,200000,220000,NA,NA
06 JUNI, 2022,Tanga,Tanga,76000,78000,188000,200000,100000,100000,100000,100000,185000,180000,186000,190000,190000,200000,67000,67000
